explainer,mol_idx,smile,explaining_smile,clean_explanation,non_explaining_smile,clean_nonexplanation,mol_pred,e_pred,ne_pred,comp,suff,expl length
IG,3,CC(=O)N(C)c1ccc(c2c1cccc2)[N+](=O)[O-],O=CNc1ccc([N+](=O)[O-])c2ccccc12,O=CNc1ccc([N+](=O)[O-])c2ccccc12,CC.CN,CC,0.565568,0.572062,0.459984,0.105584,-0.006494,0.888889
IG,9,COC[C@H](C(=O)N)NC(=O)Cc1cccc(c1)F,CN.CN.c1ccccc1,CN.CN,C=O.CC=O.CCOC.cF,C=O.CC=O.CCOC,0.518624,0.462286,1.397677,-0.879052,0.056338,0.555556
IG,10,c1cc(cc(c1)F)CNc1ccc(cc1)C(=O)NC1CCOCC1,NCc1ccc(N)cc1.c1ccccc1,NCc1ccc(N)cc1,C=O.NC1CCOCC1.cC.cF,C=O.NC1CCOCC1,0.540191,0.562552,0.907459,-0.367268,-0.022361,0.625000
IG,13,Cn1cncc1CCNC(=O)c1cc(cnc1)F,cccc(c)C(N)=O.ccnc,"",Cn.cCC.cF.cn.cn,"",0.546673,NaN,NaN,NaN,NaN,0.666667
IG,17,CN(CC[C@@H](c1ccccc1)O)C(=O)[C@@H]1CC[N@H+](CC1)CC(=O)N,C.CN.c1ccccc1,C.CN,C=O.CNCCCO.C[N@H+]1CC[C@H](C=O)CC1,C=O.CNCCCO,0.489150,0.467179,0.917614,-0.428464,0.021971,0.375000
IG,18,CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,NCN.ccccc,NCN,C=O.CC[C@H](C)CC.CN.cOCC(F)(F)F.cn,C=O.CC[C@H](C)CC.CN,0.492734,0.454082,1.376647,-0.883913,0.038652,0.347826
IG,27,COC[C@H]1CCC[N@H+](C1)Cc1ccccc1OCc1ccccn1,Oc1ccccc1.ccccc,Oc1ccccc1,CO.COC[C@H]1CCC[N@@H+](C)C1.cn,CO.COC[C@H]1CCC[N@@H+](C)C1,0.519710,0.578041,0.892034,-0.372324,-0.058331,0.500000
IG,33,CC1(Cc2c(sc3c2c(=[NH2+])n(cn3)Nc2ccccc2)CO1)C,ccc(c)c(=[NH2+])n(c)Nc1ccccc1,"",CC(C)(C)OCcs.cn,"",0.556741,NaN,NaN,NaN,NaN,0.652174
IG,34,Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,S=c[nH]c1ccccc1.c1ccccc1,"",Cc.cF.cnCCOc,"",0.567857,NaN,NaN,NaN,NaN,0.714286
IG,40,C[C@@H](C(=O)N1CCC[C@H]1c1cccs1)[N@@H+](C)CC(=O)N,C.CN.cccc,C.CN,C=O.CC[NH+](C)C.O=CN1CCCC1.cs,C=O.CC[NH+](C)C.O=CN1CCCC1,0.490293,0.467179,1.372286,-0.881993,0.023114,0.350000
IG,41,COC(=O)C([C@H](CC(=O)c1ccccc1)c1ccccc1)C(=O)OC,C.C.Cc1ccccc1.c1ccccc1,C.C.Cc1ccccc1,C=O.CCCC=O.CO.COC=O,C=O.CCCC=O.CO,0.547966,0.506317,1.392170,-0.844203,0.041649,0.600000
IG,43,c1ccc(cc1)[C@@H]1CC[N@@H+](C1)[C@H]1CCCC[C@H]1O,c1ccccc1,c1ccccc1,c[C@@H]1CC[N@H+]([C@H]2CCCC[C@H]2O)C1,"",0.479853,0.580975,NaN,NaN,-0.101122,0.333333
IG,54,CN(CC1CC1)C(=O)NC[C@H](c1ccco1)[NH+]1CCCCC1,CN.cccc,CN,C=O.CNCC1CC1.NCC[NH+]1CCCCC1.co,C=O.CNCC1CC1.NCC[NH+]1CCCCC1,0.475469,0.462286,1.341653,-0.866183,0.013183,0.272727
IG,57,CC(=CC(=O)OCc1cc(=O)oc2c1ccc(c2)OC)C,C=CC.cccc1ccccc1,C=CC,CCC.COC=O.O=co.cOC,CCC.COC=O,0.551012,0.482850,0.931456,-0.380444,0.068162,0.571429
IG,63,CC[C@@H](C)[NH2+]CCNCc1cccs1,cccc,"",CC[C@@H](C)[NH2+]CCNC.cs,CC[C@@H](C)[NH2+]CCNC,0.488988,NaN,0.435972,0.053016,NaN,0.285714
IG,76,COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,CNc1ccccc1.c1ccccc1,CNc1ccccc1,C=O.CO.cC[NH2+]CCN.cOC,C=O.CO,0.545822,0.572689,0.938163,-0.392341,-0.026867,0.583333
IG,91,CC(C)(C)c1c(cn[nH]1)C[NH2+]C[C@@H]1COC2(O1)CCOCC2,ccc[nH],"",CC(C)C.cC[NH2+]C[C@@H]1COC2(CCOCC2)O1.cn,CC(C)C,0.459585,NaN,0.448486,0.011099,NaN,0.181818
IG,93,C[N@H+]1CCC[C@H](C1)N(C)CC(=O)[O-],C,C,CN(C)[C@@H]1CCC[N@H+](C)C1.O=C[O-],CN(C)[C@@H]1CCC[N@H+](C)C1,0.437439,0.472073,0.430819,0.006620,-0.034633,0.076923
IG,100,C[NH+](C)[C@@H]1CC[C@@H](C1)NC(=O)CC1(CCCCC1)O,CN,CN,C[NH+](C)[C@@H]1CCCC1.O=CCC1(O)CCCCC1,C[NH+](C)[C@@H]1CCCC1,0.432388,0.462286,0.431613,0.000774,-0.029898,0.105263
IG,109,CC/[NH+]=C(/NCCc1nnc2n1CCCCC2)\NC[C@H]1CCCO1,[NH+]=C(N)N.cnc,[NH+]=C(N)N,CC.CCCCCn.CCN.NC[C@H]1CCCO1.cnn,CC.CCN.NC[C@H]1CCCO1,0.460315,0.490666,1.344495,-0.884179,-0.030351,0.291667
IG,114,c1cc(nc(c1)OCC(F)F)C(=O)Nc1ccncc1O,cccccCNc(cc)c(c)O,"",C=O.cOCC(F)F.cn.cn,C=O,0.547071,NaN,0.475721,0.071350,NaN,0.619048
IG,115,c1cc(cc(c1)[N+](=O)[O-])CCC(=O)N[C@H]1CCOc2c1cccc2Cl,CN.O=[N+]([O-])c1ccccc1.c1ccccc1,CN.O=[N+]([O-])c1ccccc1,C=O.cCC.cCl.c[C@@H](N)CCO,C=O,0.535609,0.514329,0.475721,0.059888,0.021280,0.680000
IG,119,CC(C)(C)c1nc(cs1)C[NH2+]Cc1cccc(c1)F,c.c1ccccc1.cc,c1ccccc1,CC(C)C.cC[NH2+]C.cF.cn.cs,CC(C)C,0.529486,0.580975,0.448486,0.081000,-0.051489,0.473684
IG,128,Cc1csc(n1)CCNC(=O)N[C@@H](C)C(=O)NC,CN.NCN.c.cc,CN.NCN,C=O.C=O.CCN.CCcn.CN.Cc.cs,C=O.C=O.CCN.CN,0.498946,0.458184,1.865844,-1.366898,0.040762,0.444444
IG,130,CCOC(=O)N1CCN(CC1)[C@H](C)C(=O)Nc1ccc(cn1)Cl,CN.cccccNC,CN,C=O.C=O.CCN(CC)CCN.CCO.cCl.cn,C=O.C=O.CCN(CC)CCN.CCO,0.496579,0.462286,1.841913,-1.345334,0.034293,0.391304
IG,137,Cc1ccsc1[C@@H]1CCN(C[C@H]1O)C(=O)Cn1c(nnn1)N,C=O.cccc.ncN,C=O,CC.Cc.c[C@@H]1CCNC[C@H]1O.cnnn.cs,CC,0.498848,0.475721,0.459984,0.038864,0.023127,0.409091
IG,141,CC1=C2[C@@H](C(=C(O[C@H]2N=N1)N)C#N)[C@@H]1C=NN=C1c1ccc(cc1)F,C.C=C.C=C.Cc1ccccc1,C.C=C.C=C,C=NN.CC.CC#N.CCCC.N=NCOCN.cF,C=NN.CC.CC#N.CCCC.N=NCOCN,0.520875,0.478729,2.288766,-1.767891,0.042145,0.480000
IG,152,Cc1nc(on1)[C@@H](C)OC(=O)c1cc(cn1C)C(=O)N,c.c.cc(ccC)CN,"",C=O.C=O.C[C@@H](O)con.Ccn.cnC,C=O.C=O,0.531104,NaN,0.951442,-0.420338,NaN,0.450000
IG,162,c1ccc(cc1)C[NH2+]Cc1ccccc1OCC(=O)[O-],C.Oc1ccccc1.c1ccccc1,C.Oc1ccccc1,CO.O=C[O-].cC[NH2+]C,CO.O=C[O-],0.554193,0.525057,0.951989,-0.397796,0.029137,0.700000
IG,168,C[C@H]1C[C@H](CCO1)C(=O)OC[C@@H]1CCCN(C1)C(=O)c1ccccc1,C.O=Cc1ccccc1,C,C[C@H]1CCCCO1.O=COC[C@@H]1CCCNC1,C[C@H]1CCCCO1,0.481878,0.472073,0.431197,0.050682,0.009806,0.360000
IG,170,C=CCN(CCO)C(=O)N[C@H]1CC[C@@H](CC1)Oc1ccc(cn1)C#N,C=C.CN.ccccc,C=C.CN,C=O.CCNCCO.N[C@H]1CC[C@H](O)CC1.cC#N.cn,C=O.CCNCCO.N[C@H]1CC[C@H](O)CC1,0.489817,0.472172,1.348128,-0.858311,0.017645,0.360000
IG,174,CC1([C@H]([C@H]2[C@@H]1OCC2)NC(=O)N1CCN(CC1)CC#C)C,C.CN,C,CC1(C)C[C@@H]2CCO[C@@H]21.CCN1CCN(C=O)CC1,CC1(C)C[C@@H]2CCO[C@@H]21,0.438517,0.472073,0.426004,0.012513,-0.033555,0.142857
IG,176,C[C@@]12CC[C@H]3[C@@H]([C@@H]1CC[C@]2(C#C)O)CCC1=CC(=O)CC[C@H]31,C.C=CC.O,C.C=CC,CC[C@H]1[C@@H](CCCC=O)CC[C@@]2(C)C(C)CC[C@@H]12,CC[C@H]1[C@@H](CCCC=O)CC[C@@]2(C)C(C)CC[C@@H]12,0.438564,0.477461,0.427957,0.010607,-0.038898,0.227273
IG,178,CNCc1ccnnc1,cccc,"",CNC.cnn,CNC,0.538614,NaN,0.458874,0.079740,NaN,0.444444
IG,180,CC1=C[C@H]2C3=C(CCN(C3)C(=O)C)N=C2C=C1,C=C.C=CC=CC.C=O,C=C.C=CC=CC,CC.CC.CCC.CNCCCN,CC.CC.CCC,0.494252,0.498046,1.370567,-0.876315,-0.003794,0.529412
IG,187,COc1c(cc(cn1)C(F)(F)F)C=C,C=Cc(c)ccc,"",CO.cC(F)(F)F.cn,CO,0.529565,NaN,0.462442,0.067123,NaN,0.500000
IG,193,c1cc(c(cc1C(F)(F)F)C[N@H+](CCO)CCOCC(F)(F)F)Cl,c1ccccc1,c1ccccc1,cC(F)(F)F.cC[N@H+](CCO)CCOCC(F)(F)F.cCl,"",0.475623,0.580975,NaN,NaN,-0.105352,0.250000
IG,195,CCN(CC)C(=O)CCC(=O)Nc1ccc(cc1F)C(=O)OC,C.CNc1ccc(C)cc1,C,C=O.CCC=O.CCNCC.COC=O.cF,C=O.CCC=O.CCNCC.COC=O,0.513762,0.472073,1.864442,-1.350680,0.041689,0.434783
IG,198,C1COC[C@H]1[C@@H](C(F)(F)F)N,"","",N[C@@H]([C@H]1CCOC1)C(F)(F)F,N[C@@H]([C@H]1CCOC1)C(F)(F)F,0.432241,0.000000,0.431933,0.000308,0.432241,0.000000
IG,211,CO[C@@H]1CCCC[C@@H]1[NH2+]CC(=O)N,C,C,C[NH2+][C@H]1CCCC[C@H]1OC.NC=O,C[NH2+][C@H]1CCCC[C@H]1OC,0.434448,0.472073,0.429344,0.005104,-0.037625,0.076923
IG,213,c1cc(oc1)C(=O)Nc1ccc2c(c1)N(CC2)C(=O)[C@@H]1CCCO1,CNc1cccc(NCc2ccco2)c1,CNc1cccc(NCc2ccco2)c1,C=O.CCN.O=C[C@@H]1CCCO1,C=O.CCN,0.533912,0.571425,0.927836,-0.393924,-0.037513,0.625000
IG,215,C[C@H](CN1CCOCC1)NC(=O)C[C@H](c1cccs1)NC(=O)C,CN.CN.cccc,CN.CN,CC=O.CCC=O.CCCN1CCOCC1.cs,CC=O.CCC=O.CCCN1CCOCC1,0.484283,0.462286,1.369716,-0.885433,0.021997,0.347826
IG,217,Cc1cnn(c1)[C@@H]1CCCN(C1)C(=O)C[C@H]1c2c(ccs2)CCO1,C=O.cccc.cccn,C=O,CCCOCCc.Cc.cn.cs.n[C@@H]1CCCNC1,"",0.501470,0.475721,NaN,NaN,0.025749,0.416667
IG,220,c1cc(ncc1S(=O)(=O)N1CCOCC1)NN,O.O.cccccN,O.O,NN.cSN1CCOCC1.cn,NN,0.496292,0.470407,0.464501,0.031790,0.025884,0.470588
