explainer,mol_idx,smile,explaining_smile,clean_explanation,non_explaining_smile,clean_nonexplanation,mol_pred,e_pred,ne_pred,comp,suff,expl length
IG,18,CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,NC(N)=O.ccccc,NC(N)=O,C.CC[C@H](C)CC.OCC(F)(F)F.n,C.CC[C@H](C)CC.OCC(F)(F)F,0.49273353815078735,0.4906827211380005,1.3551002740859985,-0.8623667359352112,0.0020508170127868652,0.391304347826087
IG,34,Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,Oc1ccccc1.S=c1nc2ccccc2[nH]1,Oc1ccccc1,C.CC.F,C.CC.F,0.5678566098213196,0.5780411958694458,1.4072410762310028,-0.8393844664096832,-0.01018458604812622,0.8095238095238095
IG,76,COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,CNc1ccccc1.c1ccccc1,CNc1ccccc1.c1ccccc1,CO.CO.C[NH2+]CCN.O,CO.CO.C[NH2+]CCN.O,0.545822024345398,0.5768319368362427,1.8390081524848938,-1.2931861281394958,-0.031009912490844727,0.5833333333333334
IG,141,CC1=C2[C@@H](C(=C(O[C@H]2N=N1)N)C#N)[C@@H]1C=NN=C1c1ccc(cc1)F,C.C=C.C=CN.Cc1ccccc1,C.C=C.C=CN.Cc1ccccc1,C.C#N.CC.F.N=NCO.NN,C.C#N.CC.F.N=NCO.NN,0.5208746790885925,0.5068760439753532,2.79624006152153,-2.2753653824329376,0.013998635113239288,0.52
IG,245,C1CN(CC[C@@H]1C(=O)N)C(=O)[C@@H]1CC(=O)N(C1)C1CCOCC1,C.CN.NC=O,C.CN.NC=O,CCCCC.CCCNC1CCOCC1.O.O,CCCCC.CCCNC1CCOCC1.O.O,0.4460951089859009,0.4751066168149312,1.8109476268291473,-1.3648525178432465,-0.029011507829030336,0.2608695652173913
IG,291,c1cc(ccc1/C=C/C(=O)c1ccc(cc1)F)O,O=C(/C=C/c1ccc(O)cc1)c1ccccc1,O=C(/C=C/c1ccc(O)cc1)c1ccccc1,F,F,0.5758583545684814,0.5805299878120422,0.4751848876476288,0.10067346692085266,-0.004671633243560791,0.9444444444444444
IG,293,Cc1cccc(c1)[C@@](C)(C[NH3+])O,c1ccccc1,c1ccccc1,C.CC(O)C[NH3+],C.CC(O)C[NH3+],0.5305008888244629,0.5809750556945801,0.9171504378318787,-0.38664954900741577,-0.05047416687011719,0.5
IG,320,CCOc1cccc(c1)C(=O)N1CC[NH+](CC1)[C@@H]1CCC[C@@H]1O,Cc1ccccc1,Cc1ccccc1,CCO.O.O[C@H]1CCC[C@H]1[NH+]1CCNCC1,CCO.O.O[C@H]1CCC[C@H]1[NH+]1CCNCC1,0.48793306946754456,0.5748069882392883,1.3490116596221924,-0.8610785901546478,-0.08687391877174377,0.30434782608695654
IG,324,c1c([nH]cn1)C[C@@H](c1nc(nn1CC(F)(F)F)C1CC1)N,c.cc[nH]c.cn,,C1CC1.CC(F)(F)F.CCN.n.n.n,C1CC1.CC(F)(F)F.CCN,0.4928376376628876,,1.340394765138626,-0.8475571274757385,,0.3333333333333333
IG,373,c1cc(sc1)C(=O)NCCC(=O)OC[C@@H]1CCC=CC1,C=C.C=O.ccccC(N)=O,C=C.C=O,CC.CC[C@H](C)CO.s,CC.CC[C@H](C)CO,0.49504002928733826,0.4788895398378372,0.8991455733776093,-0.404105544090271,0.016150489449501038,0.55
IG,377,Cc1c(cnc(n1)[C@H]1CCCN1C(=O)COc1ccccc1)C(=O)N,CN.Oc1ccccc1.c.cc(c)C(N)=O,CN.Oc1ccccc1,C.C.CCCC.O.n.n,C.C.CCCC.O,0.5295400023460388,0.5201636403799057,1.858183205127716,-1.3286432027816772,0.009376361966133118,0.64
IG,410,C[C@H](Cn1cccn1)NC(=O)NCc1cc[nH+]c(c1)N1CCCC1,NCN.Nc1cccc[nH+]1.cccn,NCN.Nc1cccc[nH+]1,C.CCC.CCCC.O.n,C.CCC.CCCC.O,0.526145339012146,0.5138731300830841,1.836710512638092,-1.310565173625946,0.01227220892906189,0.5833333333333334
IG,419,COCC[NH2+]CC(=O)N,NC=O,NC=O,C[NH2+]CCOC,C[NH2+]CCOC,0.4482828676700592,0.4909611940383911,0.44039708375930786,0.007885783910751343,-0.04267832636833191,0.3333333333333333
IG,466,COc1ccc(cc1)Oc1ccc(cc1)NC(=O)CCC(=O)[O-],CNc1ccc(Oc2ccc(O)cc2)cc1.C[O-],CNc1ccc(Oc2ccc(O)cc2)cc1.C[O-],C.CC.O.O,C.CC.O.O,0.557905912399292,0.5203410685062408,1.8728710412979126,-1.3149651288986206,0.03756484389305115,0.782608695652174
IG,478,Cc1nc(cs1)CC(=O)N(C)Cc1[nH+]ccn1Cc1ccccc1,C=O.c.c1c[nH+]cn1.c1ccccc1.cc,C=O.c1ccccc1,C.C.C.CNC.n.s,C.C.C.CNC,0.5504058003425598,0.5283481031656265,1.8750913441181183,-1.3246855437755585,0.02205769717693329,0.6666666666666666
IG,496,C[C@@H](c1ccc(cc1)n1cncn1)NC(=O)NCCN1CCOCC1,NCN.c.cn-c1ccccc1,NCN,CC.CCN1CCOCC1.O.n.n,CC.CCN1CCOCC1.O,0.5176870822906494,0.45408159494400024,1.3629297316074371,-0.8452426493167877,0.06360548734664917,0.48
IG,510,Cn1c(ccn1)C1CCN(CC1)Cc1cnc(s1)c1cccs1,cc.cccc-c.cccn,,C.CN1CCCCC1.n.n.s.s,C.CN1CCCCC1,0.5301796197891235,,0.9044888615608215,-0.374309241771698,,0.4782608695652174
IG,580,Cc1nc(no1)CN1CCN(CC1)Cc1ccc(cc1O)OC,Oc1cccc(O)c1.c.co,Oc1cccc(O)c1,C.C.CN1CCN(C)CC1.n.n,C.C.CN1CCN(C)CC1,0.5100134611129761,0.5735762715339661,1.3790134489536285,-0.8689999878406525,-0.06356281042098999,0.4782608695652174
IG,587,c1ccc(cc1)[C@H](CCCO)NC(=O)Cc1ccccc1Cl,NC=O.c1ccccc1.c1ccccc1,NC=O.c1ccccc1.c1ccccc1,C.CCCCO.Cl,C.CCCCO.Cl,0.5409768223762512,0.5509704351425171,1.3889829516410828,-0.8480061292648315,-0.00999361276626587,0.6818181818181818
IG,619,CC(=O)OC[C@H]1[C@H]([C@@H]([C@@H](O1)n1cnc2c1nc([nH]c2=O)N)O)O,C.O.cnccc[nH]cN,C.O,C.O.O.OC[C@H]1C[C@H](O)CO1.n.n,C.O.O.OC[C@H]1C[C@H](O)CO1,0.5057446360588074,0.47123999893665314,1.846008688211441,-1.3402640521526337,0.034504637122154236,0.43478260869565216
IG,632,c1cc(cnc1)C[NH2+]C[C@H]1CN2CCCC[C@@H]2CO1,ccccc,,C[NH2+]C[C@H]1CN2CCCC[C@@H]2CO1.n,C[NH2+]C[C@H]1CN2CCCC[C@@H]2CO1,0.47265303134918213,,0.42657068371772766,0.04608234763145447,,0.2631578947368421
IG,674,CC(C)(C)c1c(cc(c[nH+]1)N)OC1CC1,c1cc[nH+]cc1,c1cc[nH+]cc1,CC(C)C.N.OC1CC1,CC(C)C.N.OC1CC1,0.5139999985694885,0.5764427185058594,1.361737221479416,-0.8477372229099274,-0.06244271993637085,0.4
