SMILES,Value
COc1ccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)cc1,8.920818753952375
Clc1ccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)cc1,8.769551078621726
Clc1cccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)c1,8.721246399047171
Fc1ccc2OC(=CC(=O)c2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,6.610924374808178
CC(C)N(CCOc1ccc(cc1)N2C=CC(=CC2=O)OCc3ccccc3)C(C)C,8.366531544420413
Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=S)CC3)c5ccccc25,8.208802395055628
Clc1ccc(cc1)C2CCN(CCN3CCN(C3=O)c4cccc(Cl)c4)CC2,8.100015437450608
Clc1ccc(OCCCc2cccc(CCCOc3ccc(Cl)cc3)n2)cc1,8.00436480540245
Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,6.145975374252579
CCc1nc(N2CCC(CCNS(=O)(=O)N)CC2)c3cc(OC)c(OC)cc3n1,7.7594507517174005
CC(=O)c1ccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)cc1,7.692503962086787
Cc1ccc(CCCOCc2cccc(COCCCc3ccc(C)cc3)[n+]2C)cc1,7.165993514179084
CCC(=O)c1ccc(OCC(O)CN2CCN(Cc3ccc(Cl)cc3)CC2)cc1,7.56141741192566
CCc1[nH]c2cc(F)ccc2c1C3CCN(CCCSc4ccc(F)cc4)CC3,7.522878745280337
COc1ccccc1N2CCN(CCCCOc3ccc4C(=CC(=O)Oc4c3)C)CC2,7.508638306165727
CC(C)(Cc1ccc2ccccc2c1)NCC(O)COc3ccc(CCC(=O)O)cc3,7.414539270491499
Cc1cccc2[C@@H](O)C[C@@H](CN3CCC(CC3)c4c(Cl)cccc4Cl)CCc12,7.372398049230081
COc1ccccc1N2CCN(CC(O)COc3ccc(cc3)c4ccccc4)CC2,7.332007135526771
Cn1cc2c(OCC3CCN(CCc4ccc(N)cc4)CC3)nc5ccccc5c2c1,7.301029995663981
CC12CC(CC(C1)c3ccccc3)N(CCN4CCN(C4=O)c5cccc(Cl)c5)C2,7.199970640755866
Oc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,7.195860567664649
C(Nc1nc(nnc1c2ccccc2)c3ccccn3)c4ccc(cc4)c5ccccc5,7.138334816042989
COc1ccc2SCCN(Cc2c1)C(=O)CCN3CCC(Cc4ccccc4)CC3,6.853072809241234
