SMILES,Value,ID,splits
COc1ccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)cc1,8.920818753952375,0,test
Clc1ccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)cc1,8.769551078621726,1,test
Clc1cccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)c1,8.721246399047171,2,test
Fc1ccc2OC(=CC(=O)c2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,6.610924374808178,3,train
CC(C)N(CCOc1ccc(cc1)N2C=CC(=CC2=O)OCc3ccccc3)C(C)C,8.366531544420411,4,train
Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=S)CC3)c5ccccc25,8.208802395055628,5,train
Clc1ccc(cc1)C2CCN(CCN3CCN(C3=O)c4cccc(Cl)c4)CC2,8.100015437450608,6,test
Clc1ccc(OCCCc2cccc(CCCOc3ccc(Cl)cc3)n2)cc1,8.004364805402451,7,train
Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,6.145975374252579,8,test
CCc1nc(N2CCC(CCNS(=O)(=O)N)CC2)c3cc(OC)c(OC)cc3n1,7.7594507517174,9,train
CC(=O)c1ccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)cc1,7.692503962086787,10,test
Cc1ccc(CCCOCc2cccc(COCCCc3ccc(C)cc3)[n+]2C)cc1,7.1659935141790845,11,train
CCC(=O)c1ccc(OCC(O)CN2CCN(Cc3ccc(Cl)cc3)CC2)cc1,7.56141741192566,12,test
CCc1[nH]c2cc(F)ccc2c1C3CCN(CCCSc4ccc(F)cc4)CC3,7.522878745280337,13,train
COc1ccccc1N2CCN(CCCCOc3ccc4C(=CC(=O)Oc4c3)C)CC2,7.508638306165728,14,test
CC(C)(Cc1ccc2ccccc2c1)NCC(O)COc3ccc(CCC(=O)O)cc3,7.414539270491499,15,train
Cc1cccc2[C@@H](O)C[C@@H](CN3CCC(CC3)c4c(Cl)cccc4Cl)CCc12,7.372398049230081,16,train
COc1ccccc1N2CCN(CC(O)COc3ccc(cc3)c4ccccc4)CC2,7.332007135526772,17,train
Cn1cc2c(OCC3CCN(CCc4ccc(N)cc4)CC3)nc5ccccc5c2c1,7.301029995663981,18,test
CC12CC(CC(C1)c3ccccc3)N(CCN4CCN(C4=O)c5cccc(Cl)c5)C2,7.199970640755867,19,train
Oc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,7.195860567664648,20,train
C(Nc1nc(nnc1c2ccccc2)c3ccccn3)c4ccc(cc4)c5ccccc5,7.138334816042988,21,train
COc1ccc2SCCN(Cc2c1)C(=O)CCN3CCC(Cc4ccccc4)CC3,6.853072809241233,22,train
CCCCc1cc(OC2CCN(CCCS(=O)(=O)CC)CC2)c3ncccc3c1,7.119987161633228,23,train
CCCCc1cc(OC2CCN(CCNS(=O)(=O)CC)CC2)c3ncccc3c1,7.119987161633228,24,train
COc1ccc2nccc([C@@H](O)[C@@H]3CC4CC[N+]3(Cc5ccccc5)C[C@@H]4C=C)c2c1,7.040012899640327,25,train
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Br)cc3,7.026716426520895,26,train
Clc1ccc2c(c1)c(cn2c3ccccc3)C4CCN(CCN5CCNC5=O)CC4,7.057749586421084,27,test
Fc1ccc(cc1C#N)c2cnc3nc(sc3c2)N4CCC(CC4)N5CCCCC5,6.9956356288922485,28,test
OC1(CCN(CC1)C2CCC(CC2)c3ccccc3)c4ccc(Br)cc4,6.914860287864134,29,train
C(CN1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4,6.921234419768844,30,train
C1CC(CCS1)C2NC(Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,6.920818753952375,31,train
COCCCNC(=O)C1=CC2=C(N=C3C=CC=CN3C2=O)N(Cc4ccccc4)C1=N,6.834044194792553,32,train
CS(=O)(=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1,6.823908740944319,33,train
